name;seaside;rakim_metre;enlem;boylam;rere;grophar;parks;transit;work;resi;income_m;oyb_2020;avm_sayisi_2022;pop_density_2022;hane_2022;yfm_2022;yasli_orani;genc_orani;ortaYas_orani
Fatih;1;29;41.0166667;28.9333333;-31.1202;-7.8046;-10.5792;16.5327;-21.4768;6.8907;9714;7101;1;24187;3.04;59627;16;31;53
Zeytinburnu;1;24;40.990635;28.89614;-24.7555;21.9448;-16.0055;7.5473;-15.2117;6.2617;6703;4576;2;23638;3.72;32967;10;38;51
Güngören;0;45;41.0166667;28.8833333;-18.8974;16.3428;28.3451;14.0693;-18.4372;6.6685;6232;4395;1;40042;3.42;41836;13;35;52
Bakırköy;1;21;40.968155;28.8228;-35.918;13.9183;-18.6011;5.9621;-31.0988;8.0785;16269;1390;8;7540;2.99;75719;21;27;52
Bahçelievler;0;68;40.9975;28.8505556;-33.8825;10.4852;3.3114;20.5874;-25.1585;7.5423;8597;9268;3;34845;3.46;99363;11;35;54
Bağcılar;0;92;41.0455556;28.8405556;-22.082;-7.8537;2.2076;36.295;-18.1038;6.4836;5881;13562;3;17552;3.94;69904;8;41;51
Bayrampaşa;0;69;41.0481503;28.9004553;-30.2049;20.9448;-20.0055;4.7034;-19.612;6.2024;6401;3310;1;26995;3.4;39114;13;34;54
Esenler;0;127;41.0794133;28.8538545;-33.7787;9.4031;6.5409;20.4503;-19.8511;6.0983;5237;8768;0;40570;3.81;38584;8;41;51
Küçükçekmece;1;10;41.008658;28.775342;-14.9617;17.5845;-7.8579;20.892;-19.1544;7.3306;6561;12380;2;20779;3.43;123539;10;37;53
Avcılar;1;9;41.0153479;28.7314618;-19.5369;26.8684;17.3838;11.7076;-20.5615;7.4672;6736;5869;1;11497;3.4;66008;11;36;53
Beylikdüzü;1;109;40.9910381;28.6498144;-20.6995;30.5983;17.2482;10.5396;-20.2746;8.58;7959;2682;2;9620;3.35;78912;11;36;53
Esenyurt;0;55;41.0342806;28.6801194;-23.8456;72.3705;9.7513;23.1789;-11.0355;7.1939;5562;14834;4;22265;3.55;91613;6;43;52
Beyoğlu;1;58;41.0382864;28.9703304;-39.8798;-8.9439;-30.612;-19.0386;-20.0847;7.1936;8779;5069;2;25155;3.08;32417;12;33;55
Eyüp;1;71;41.1871598;28.8829816;-33.5451;6.6563;-16.1339;14.9131;-21.8839;8.3975;8590;5641;4;1591;3.28;70538;11;35;54
Gaziosmanpa?a;0;104;41.0759477;28.9004553;-13.1694;32.3069;18.4276;23.362;-21.1803;7.1885;5553;8768;1;40648;3.57;56793;11;38;52
Sultangazi;1;84;41.1255794;28.8713314;-12.1434;-0.8232;12.6776;41.4922;-14.9426;6.7377;4023;11177;0;14930;4.08;38979;7;43;50
Kağıthane;0;42;41.071;28.97;-26.8142;3.0141;11.4153;23.6104;-26.015;8.433;7703;6734;2;29494;3.26;70086;9;35;56
Şişli;0;99;41.06;28.987;-45.2527;-10.8373;-30.3607;-10.6872;-27.4781;9.0372;14388;3692;8;24253;2.64;72257;16;26;58
Beşiktaş;1;21;41.068616;29.0285355;44.9126;23.6407;-12.2787;-19.7322;-36.7654;9.9332;19424;950;2;9290;2.51;76761;22;23;55
Başakşehir;0;110;41.077895;28.812551;-27.4577;36.0254;0.1898;12.403;-14.9563;8.4795;8301;5155;4;4895;3.77;78063;6;44;50
Büyükçekmece;1;8;41.034133;28.590003;-18.8115;24.7835;25.7553;5.1889;-19.1926;7.5939;6752;2812;1;1851;3.29;45019;13;35;52
Sarıyer;1;59;41.166328;29.04995;-32.0806;-2.1042;-11.8634;2.9836;-30.179;9.6188;13442;4573;3;2265;3.09;81717;14;31;55
